Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
21/7/2020,IN,India,SEARO,37148,1155196,587,28084
22/7/2020,IN,India,SEARO,37724,1192920,648,28732
23/7/2020,IN,India,SEARO,45720,1238640,1129,29861
24/7/2020,IN,India,SEARO,49310,1287950,740,30601
25/7/2020,IN,India,SEARO,48916,1336866,757,31358
26/7/2020,IN,India,SEARO,48661,1385527,705,32063
27/7/2020,IN,India,SEARO,49931,1435458,708,32771
28/7/2020,IN,India,SEARO,47703,1483161,654,33425
29/7/2020,IN,India,SEARO,48513,1531674,768,34193
30/7/2020,IN,India,SEARO,52123,1583797,775,34968
31/7/2020,IN,India,SEARO,55078,1638875,779,35747
1/8/2020,IN,India,SEARO,57118,1695993,764,36511
2/8/2020,IN,India,SEARO,54735,1750728,853,37364
3/8/2020,IN,India,SEARO,52972,1803700,771,38135
4/8/2020,IN,India,SEARO,52050,1855750,803,38938
5/8/2020,IN,India,SEARO,52509,1908259,857,39795
6/8/2020,IN,India,SEARO,56282,1964541,904,40699
7/8/2020,IN,India,SEARO,62538,2027079,886,41585
8/8/2020,IN,India,SEARO,61537,2088616,933,42518
9/8/2020,IN,India,SEARO,64399,2153015,861,43379
10/8/2020,IN,India,SEARO,62064,2215079,1007,44386
11/8/2020,IN,India,SEARO,53601,2268680,871,45257
12/8/2020,IN,India,SEARO,60963,2329643,834,46091
13/8/2020,IN,India,SEARO,66999,2396642,942,47033
14/8/2020,IN,India,SEARO,64553,2461195,1007,48040
15/8/2020,IN,India,SEARO,65002,2526197,996,49036
16/8/2020,IN,India,SEARO,63490,2589687,944,49980
17/8/2020,IN,India,SEARO,57981,2647668,941,50921
18/8/2020,IN,India,SEARO,55079,2702747,876,51797
19/8/2020,IN,India,SEARO,64531,2767278,1092,52889
20/8/2020,IN,India,SEARO,69652,2836930,977,53866
21/8/2020,IN,India,SEARO,68898,2905828,983,54849
22/8/2020,IN,India,SEARO,69878,2975706,945,55794
23/8/2020,IN,India,SEARO,69239,3044945,912,56706
24/8/2020,IN,India,SEARO,61408,3106353,836,57542
25/8/2020,IN,India,SEARO,60975,3167328,848,58390
26/8/2020,IN,India,SEARO,67151,3234479,1059,59449
27/8/2020,IN,India,SEARO,75760,3310239,1023,60472
28/8/2020,IN,India,SEARO,77266,3387505,1057,61529
29/8/2020,IN,India,SEARO,76472,3463977,1021,62550
30/8/2020,IN,India,SEARO,78761,3542738,948,63498
31/8/2020,IN,India,SEARO,78512,3621250,971,64469
1/9/2020,IN,India,SEARO,69921,3691171,819,65288
2/9/2020,IN,India,SEARO,78357,3769528,1045,66333
3/9/2020,IN,India,SEARO,83883,3853411,1043,67376
4/9/2020,IN,India,SEARO,83341,3936752,1096,68472
5/9/2020,IN,India,SEARO,86432,4023184,1089,69561
6/9/2020,IN,India,SEARO,90632,4113816,1065,70626
7/9/2020,IN,India,SEARO,90802,4204618,1016,71642
8/9/2020,IN,India,SEARO,75809,4280427,1133,72775
9/9/2020,IN,India,SEARO,89706,4370133,1115,73890
10/9/2020,IN,India,SEARO,95735,4465868,1172,75062
11/9/2020,IN,India,SEARO,96551,4562419,1209,76271
12/9/2020,IN,India,SEARO,97570,4659989,1201,77472
13/9/2020,IN,India,SEARO,94372,4754361,1114,78586
14/9/2020,IN,India,SEARO,92071,4846432,1136,79722
15/9/2020,IN,India,SEARO,83809,4930241,1054,80776
16/9/2020,IN,India,SEARO,90123,5020364,1290,82066
17/9/2020,IN,India,SEARO,97894,5118258,1132,83198
18/9/2020,IN,India,SEARO,96424,5214682,1174,84372
19/9/2020,IN,India,SEARO,93337,5308019,1247,85619
20/9/2020,IN,India,SEARO,92605,5400624,1133,86752
21/9/2020,IN,India,SEARO,86961,5487585,1130,87882
22/9/2020,IN,India,SEARO,75083,5562668,1053,88935
23/9/2020,IN,India,SEARO,83347,5646015,1085,90020
24/9/2020,IN,India,SEARO,86508,5732523,1129,91149
25/9/2020,IN,India,SEARO,86052,5818575,1141,92290
26/9/2020,IN,India,SEARO,85362,5903937,1089,93379
27/9/2020,IN,India,SEARO,88600,5992537,1124,94503
28/9/2020,IN,India,SEARO,82170,6074707,1039,95542
29/9/2020,IN,India,SEARO,70589,6145296,776,96318
30/9/2020,IN,India,SEARO,80472,6225768,1179,97497
1/10/2020,IN,India,SEARO,86821,6312589,1181,98678
2/10/2020,IN,India,SEARO,81484,6394073,1095,99773
3/10/2020,IN,India,SEARO,79476,6473549,1069,100842
4/10/2020,IN,India,SEARO,75829,6549378,940,101782
5/10/2020,IN,India,SEARO,74442,6623820,903,102685
6/10/2020,IN,India,SEARO,61267,6685087,884,103569
7/10/2020,IN,India,SEARO,72049,6757136,986,104555
8/10/2020,IN,India,SEARO,78524,6835660,971,105526
9/10/2020,IN,India,SEARO,70496,6906156,964,106490
10/10/2020,IN,India,SEARO,73272,6979428,926,107416
11/10/2020,IN,India,SEARO,74383,7053811,918,108334
12/10/2020,IN,India,SEARO,66732,7120543,816,109150
13/10/2020,IN,India,SEARO,55342,7175885,706,109856
14/10/2020,IN,India,SEARO,63509,7239394,730,110586
15/10/2020,IN,India,SEARO,67708,7307102,680,111266
16/10/2020,IN,India,SEARO,63371,7370473,895,112161
17/10/2020,IN,India,SEARO,62212,7432685,837,112998
18/10/2020,IN,India,SEARO,61871,7494556,1033,114031
19/10/2020,IN,India,SEARO,55722,7550278,579,114610
20/10/2020,IN,India,SEARO,46790,7597068,587,115197
21/10/2020,IN,India,SEARO,54044,7651112,717,115914
22/10/2020,IN,India,SEARO,55839,7706951,702,116616
23/10/2020,IN,India,SEARO,54366,7761317,690,117306
24/10/2020,IN,India,SEARO,53370,7814687,650,117956
25/10/2020,IN,India,SEARO,50129,7864816,578,118534
26/10/2020,IN,India,SEARO,45148,7909964,480,119014
27/10/2020,IN,India,SEARO,36470,7946434,488,119502
28/10/2020,IN,India,SEARO,43893,7990327,508,120010
29/10/2020,IN,India,SEARO,49881,8040208,517,120527
30/10/2020,IN,India,SEARO,48648,8088856,563,121090
31/10/2020,IN,India,SEARO,48268,8137124,551,121641
1/11/2020,IN,India,SEARO,46963,8184087,470,122111
2/11/2020,IN,India,SEARO,45231,8229318,496,122607
3/11/2020,IN,India,SEARO,38310,8267628,490,123097
4/11/2020,IN,India,SEARO,46253,8313881,514,123611
5/11/2020,IN,India,SEARO,50210,8364091,704,124315
6/11/2020,IN,India,SEARO,47638,8411729,670,124985
7/11/2020,IN,India,SEARO,50356,8462085,577,125562
8/11/2020,IN,India,SEARO,45674,8507759,559,126121
9/11/2020,IN,India,SEARO,45903,8553662,490,126611
10/11/2020,IN,India,SEARO,38073,8591735,448,127059
11/11/2020,IN,India,SEARO,44281,8636016,512,127571
12/11/2020,IN,India,SEARO,47905,8683921,550,128121
13/11/2020,IN,India,SEARO,44879,8728800,547,128668
14/11/2020,IN,India,SEARO,44684,8773484,520,129188
15/11/2020,IN,India,SEARO,41100,8814584,447,129635
16/11/2020,IN,India,SEARO,30548,8845132,435,130070
17/11/2020,IN,India,SEARO,29163,8874295,449,130519
18/11/2020,IN,India,SEARO,38617,8912912,474,130993
19/11/2020,IN,India,SEARO,45576,8958488,585,131578
20/11/2020,IN,India,SEARO,45882,9004370,584,132162
21/11/2020,IN,India,SEARO,46232,9050602,564,132726
22/11/2020,IN,India,SEARO,45209,9095811,501,133227
23/11/2020,IN,India,SEARO,44059,9139870,511,133738
24/11/2020,IN,India,SEARO,37975,9177845,480,134218
25/11/2020,IN,India,SEARO,44376,9222221,481,134699
26/11/2020,IN,India,SEARO,44489,9266710,524,135223
27/11/2020,IN,India,SEARO,43082,9309792,492,135715
28/11/2020,IN,India,SEARO,41322,9351114,485,136200
29/11/2020,IN,India,SEARO,41810,9392924,496,136696
30/11/2020,IN,India,SEARO,38772,9431696,443,137139
1/12/2020,IN,India,SEARO,31118,9462814,482,137621
2/12/2020,IN,India,SEARO,36604,9499418,501,138122
3/12/2020,IN,India,SEARO,35551,9534969,526,138648
4/12/2020,IN,India,SEARO,36595,9571564,540,139188
5/12/2020,IN,India,SEARO,36652,9608216,512,139700
6/12/2020,IN,India,SEARO,36011,9644227,482,140182
7/12/2020,IN,India,SEARO,32981,9677208,391,140573
8/12/2020,IN,India,SEARO,26567,9703775,385,140958
9/12/2020,IN,India,SEARO,32080,9735855,402,141360
10/12/2020,IN,India,SEARO,31521,9767376,412,141772
11/12/2020,IN,India,SEARO,29398,9796774,414,142186
12/12/2020,IN,India,SEARO,30006,9826780,442,142628
13/12/2020,IN,India,SEARO,30254,9857034,391,143019
14/12/2020,IN,India,SEARO,27071,9884105,336,143355
15/12/2020,IN,India,SEARO,22065,9906170,354,143709
16/12/2020,IN,India,SEARO,26382,9932552,387,144096
17/12/2020,IN,India,SEARO,24010,9956562,355,144451
18/12/2020,IN,India,SEARO,22890,9979452,338,144789
19/12/2020,IN,India,SEARO,25152,10004604,347,145136
20/12/2020,IN,India,SEARO,26624,10031228,341,145477
21/12/2020,IN,India,SEARO,24337,10055565,333,145810
22/12/2020,IN,India,SEARO,19556,10075121,301,146111
23/12/2020,IN,India,SEARO,23950,10099071,333,146444
24/12/2020,IN,India,SEARO,24712,10123783,312,146756
25/12/2020,IN,India,SEARO,23067,10146850,336,147092
26/12/2020,IN,India,SEARO,22273,10169123,251,147343
27/12/2020,IN,India,SEARO,18732,10187855,279,147622
28/12/2020,IN,India,SEARO,20021,10207876,279,147901
29/12/2020,IN,India,SEARO,16432,10224308,252,148153
30/12/2020,IN,India,SEARO,20549,10244857,286,148439
31/12/2020,IN,India,SEARO,21822,10266679,299,148738
1/1/2021,IN,India,SEARO,20035,10286714,256,148994
2/1/2021,IN,India,SEARO,19079,10305793,224,149218
3/1/2021,IN,India,SEARO,18177,10323970,217,149435
4/1/2021,IN,India,SEARO,16504,10340474,214,149649
5/1/2021,IN,India,SEARO,16375,10356849,201,149850
6/1/2021,IN,India,SEARO,18088,10374937,264,150114
